業種,想定ニーズ,1件あたり想定売上,優先度,初回アプローチ媒体,備考
法人イベント（社内懇親会・納会）,30〜100名の料理一式,15〜40万円,S,Instagram DM / メール,決定権者への直接アプローチが最速
イベント会社,料理手配の外注先として,案件による（3〜50万円）,S,Instagram DM,継続的に案件がある
ホテル（宴会部門）,法人宴会・懇親会の料理,20〜60万円,A,メール / 電話,担当者を探すのが鍵
会議・セミナー弁当,1個1200〜1500円×人数,5〜20万円,A,メール / LINE,リピート率が高い
BAR（貸切イベント）,フィンガーフード・軽食一式,5〜20万円,A,Instagram DM,夜の連絡はNG・昼に送る
クラブ（VIPイベント）,豪華オードブル・演出,10〜30万円,A,Instagram DM,周年・VIPイベント前後を狙う
レンタルスペース（提携）,利用者への紹介・セット販売,継続的（紹介手数料型）,A,Instagram DM / メール,提携が取れると安定する
結婚式場・二次会,50〜150名の二次会料理,20〜50万円,B,Instagram DM / メール,シーズン性あり（春・秋）
懇親会（PTA・地域）,20〜60名の料理一式,8〜25万円,B,LINE / 紹介,担当者が個人LINEを持っている場合が多い
同窓会,30〜100名,15〜40万円,B,LINE / 紹介,幹事を探す必要がある
撮影現場（ロケ弁・スタッフ食）,スタッフ数×1500〜2000円,5〜20万円,B,Instagram DM / メール,撮影プロダクション・監督経由
展示会・ポップアップ,軽食・ドリンク一式,5〜20万円,C,Instagram DM,タイミング依存が高い
