file_id,file_name,parent_folder,lib_status,image_id,lib_theme,lib_category,gcs_url,gcs_path,is_valid,is_verified,suggested_theme,risk_level,drive_url
1DKin7lrWN9rH3euaxDiDigeITMIBD9En,IMG_5991.JPG,ビフォーアフター,REGISTERED_BUT_NO_GCS,IMG-00197,,脱毛,,,,,exclude_candidate,HIGH,https://drive.google.com/file/d/1DKin7lrWN9rH3euaxDiDigeITMIBD9En/view
16d0YLmm9qqcC63n52Y4irCFCEF9wMSFX,B4C95185-BEB9-45E0-B36B-362301ECFD79.png,よもぎ蒸し,REGISTERED_BUT_NO_GCS,IMG-00198,,脱毛,,,,,yomogi,LOW,https://drive.google.com/file/d/16d0YLmm9qqcC63n52Y4irCFCEF9wMSFX/view
1hX6Sd12Uy71_TOXQ7TOsouSTxoDRvqbU,44C6FFA6-8354-4817-AD5A-5D20D0C46A38.png,よもぎ蒸し,REGISTERED_BUT_NO_GCS,IMG-00199,,脱毛,,,,,yomogi,LOW,https://drive.google.com/file/d/1hX6Sd12Uy71_TOXQ7TOsouSTxoDRvqbU/view
1aeSEVzqjQXxYi-nDsAC1H2ruS8vOcL-3,B09920F7-6CE4-4C48-9370-56C74946A3D4.png,よもぎ蒸し,REGISTERED_BUT_NO_GCS,IMG-00200,,脱毛,,,,,yomogi,LOW,https://drive.google.com/file/d/1aeSEVzqjQXxYi-nDsAC1H2ruS8vOcL-3/view
1n7BxOz0pmGdIcEIG5JROaHk4i_YJN6iN,AAAD1604-61F9-4859-9E5D-146A324C397E.png,よもぎ蒸し,REGISTERED_BUT_NO_GCS,IMG-00201,,脱毛,,,,,yomogi,LOW,https://drive.google.com/file/d/1n7BxOz0pmGdIcEIG5JROaHk4i_YJN6iN/view
16173kPdMkOBhALd8w1LDUVX1yUkZyS70,1F9E722E-D2D1-4386-BE10-F0F9967EE119.png,よもぎ蒸し,REGISTERED_BUT_NO_GCS,IMG-00202,,脱毛,,,,,yomogi,LOW,https://drive.google.com/file/d/16173kPdMkOBhALd8w1LDUVX1yUkZyS70/view
1cN4QlXLIKhDYwDUC6ikA46vSoxnfXuko,5CD8B7A4-D842-4072-8CC4-B2B4798E3D71.png,セルフホワイトニング,REGISTERED_BUT_NO_GCS,IMG-00203,,脱毛,,,,,whitening,LOW,https://drive.google.com/file/d/1cN4QlXLIKhDYwDUC6ikA46vSoxnfXuko/view
1qm45Ua715Mc8-rCIrYGGeBN9vlKi22SE,5357C078-F285-42A4-A56E-E5DA0747C022.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00204,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/1qm45Ua715Mc8-rCIrYGGeBN9vlKi22SE/view
1fd0LjK1cuaZ5RxEpJR4tSBFwIzxOXfOH,651C799D-AB6A-4C91-AD28-81ED1234480E.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00205,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/1fd0LjK1cuaZ5RxEpJR4tSBFwIzxOXfOH/view
1zxAWoXED1x50YKXzeiJ04rylzwHb4PJy,2C51DDA6-3FF4-4D8A-865C-1B6914732F6F.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00206,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/1zxAWoXED1x50YKXzeiJ04rylzwHb4PJy/view
1RJNql5mGkttP341I1W2UE5zRZl7Bd41N,C33E9DFE-3FB3-46CA-B770-A1FB17EAADC4.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00207,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/1RJNql5mGkttP341I1W2UE5zRZl7Bd41N/view
1yHxxAQKMHDjLs1zp0dvow6tFAQ-D6Zd5,83C3155A-36EE-4F7D-822C-9BAE1D0C3F24.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00208,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/1yHxxAQKMHDjLs1zp0dvow6tFAQ-D6Zd5/view
13OZfzwWlBdv3CS9O8-yRKwS9NOm80bWE,F176B7CD-2FDB-4959-8817-E4F03BB2997D.png,脱毛,REGISTERED_BUT_NO_GCS,IMG-00209,,脱毛,,,,,hair_removal,LOW,https://drive.google.com/file/d/13OZfzwWlBdv3CS9O8-yRKwS9NOm80bWE/view
